Date (GMT+1),Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load (incl. self-consumption)
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2025-01-01T00:00+01:00,1327.5,4501.3,3336.8,2691.3,513.3,668.7,5017.1,23.8,108.6,453.1,1479.8,961.3,2415.1,32462.5,0,50971.8
2025-01-01T00:15+01:00,1332.6,4355.5,3350.9,2447.3,513.4,568,5000.2,23.8,160.7,838.4,1480.2,961,2601.3,32322.9,0,50048
2025-01-01T00:30+01:00,1337.4,4288.4,3347.5,2423.2,513.3,567.1,4952.9,23.8,75.1,435.4,1480.3,961.1,2542.3,32321.4,0,50088.8
2025-01-01T00:45+01:00,1335.3,4257.1,3379.6,2411.4,513.3,579.3,5019.7,23.9,58,105.9,1480,962.5,2450,32383.3,0,49955.6
2025-01-01T01:00+01:00,1349.2,4329.6,3930.2,2404.7,513.3,570.7,4799.9,24,58.5,367,1479.5,966.4,2252.6,32740,0,49695.9
2025-01-01T01:15+01:00,1341.6,4274.7,3956.2,2422.2,513.4,560.2,4507.2,23.9,30.2,84.9,1479.2,956.8,2510,32973.3,0,49408
2025-01-01T01:30+01:00,1346,4270.7,3779.6,2415.2,513.3,567.5,4485.1,23.9,55.5,124.7,1478.8,967.7,2410.5,33122,0,49291.8
2025-01-01T01:45+01:00,1352.8,4275.1,3676.5,2420.1,513.4,581,4643.2,23.9,55.4,0.3,1478.8,967,2407.9,33192.6,0,48985.8
2025-01-01T02:00+01:00,1356.6,4233.5,3394.7,2418.8,513.4,564.1,4458.5,23.9,35.1,3.8,1478.6,961.4,2676.4,33256.2,0,48683.8
2025-01-01T02:15+01:00,1364.3,4262.2,3339.9,2422,513.4,532.4,4511.2,23.9,17.3,0.2,1481.2,960.9,2663.9,33393.6,0,48284.8
2025-01-01T02:30+01:00,1363.8,4260.4,3350.4,2410.9,513.3,543,4494.4,23.9,40.3,0.2,1480.3,964.3,2586.3,33184.7,0,48051
2025-01-01T02:45+01:00,1367.4,4275.5,3311.7,2403.4,513.3,513.2,4503.6,24.1,23,0.2,1480,962,2529.9,33166.8,0,47856.5
2025-01-01T03:00+01:00,1366.5,4271.8,3315.9,2410.1,513.3,502.7,4462.7,24.2,21.9,306,1481.5,951.5,1805.2,32220.6,0,47262.8
2025-01-01T03:15+01:00,1364,4266.1,3306.1,2351,513.4,488.4,4542.8,24.2,22.8,81.6,1478.5,954.2,1746.9,32110,0,47251.8
2025-01-01T03:30+01:00,1361.9,4249,3303.7,2303.4,513.3,490.6,4606.1,24.1,15.1,0.2,1478.5,959.7,1640.6,32429.7,0,46745.3
2025-01-01T03:45+01:00,1364,4257.2,3312.6,2313.8,513.3,496.2,4620.1,24.2,9.3,0.2,1478.1,958.6,1544.3,32732,0,46671.6
2025-01-01T04:00+01:00,1360.5,4251.2,3334.8,2303.4,513.3,487.8,4622.3,24.2,60.3,10.4,1478.5,947.7,1424,32562.1,0,46050.8
2025-01-01T04:15+01:00,1356.2,4233.7,3324.7,2313.4,513.4,475.9,4632.3,24.3,17.6,1.6,1478.8,963.8,1379.3,32447.2,0,46128
2025-01-01T04:30+01:00,1353.7,4222.4,3316.2,2298,513.3,467.4,4588.2,24.3,21.9,1.3,1479.5,962.1,1296.6,32599.5,12.9,45887.8
2025-01-01T04:45+01:00,1352.4,4221.4,3307.8,2264.6,513.4,465.5,4624.2,24.3,12.9,0.1,1479.5,958.7,1211.1,32819.8,12.8,45664.4
2025-01-01T05:00+01:00,1347.2,4213.8,3297,2137.5,513.3,469.1,4733.6,24.2,9.4,0,1478.3,971.4,1267,32935,13.6,46325.9
2025-01-01T05:15+01:00,1348.2,4226.5,3308,2122.6,513.3,470.8,4762.4,24.2,11,0,1478.6,962.9,1230.5,32964.1,12.5,46154.8
2025-01-01T05:30+01:00,1346.5,4238.6,3316.1,2136.6,513.3,462.3,4757.9,24.1,10.7,0,1478.6,963.4,1166.7,33132.9,12.5,46109.6
2025-01-01T05:45+01:00,1348.2,4256.4,3305.9,2143.5,513.3,462.4,4763.1,24.1,12.3,0,1479.3,956.4,987.6,33195.7,12.5,46035.9
2025-01-01T06:00+01:00,1341.6,4277.6,3326,2086.7,513.3,477.9,4750.1,24,44.7,19,1467,965.2,935.1,34916.7,14.6,45703.8
2025-01-01T06:15+01:00,1344,4272.2,3325.7,2053.1,513.4,468.1,4735.5,23.9,45.3,34.2,1465.4,959.2,1006,34842.9,14.8,45451.2
2025-01-01T06:30+01:00,1341.6,4264.3,3319.3,1969.3,513.3,452.6,4778.5,23.9,34.4,12.9,1465.1,954.2,1102.9,34792.3,14.9,45428
2025-01-01T06:45+01:00,1345.3,4283.4,3311.2,1951,513.3,464.9,4812.1,23.9,84.4,1.4,1465.2,966.6,1103.6,35040.8,15.1,45251.8
2025-01-01T07:00+01:00,1342.7,4320.7,3362.5,1845.6,513.4,455.6,4793.2,23.9,181.9,322.8,1465.1,963.4,1257.5,35419.1,15.2,45486
2025-01-01T07:15+01:00,1336.7,4319,3338.7,1756.7,513.4,474.6,4739.8,23.1,163.6,22.9,1464.6,958.2,1269.5,35489.2,15.5,45800.7
2025-01-01T07:30+01:00,1323.4,4262.2,3315.3,1766.6,513.4,461.4,4701.5,23,151.2,23.1,1465.3,961.3,1345.9,35643.1,16.3,45932.5
2025-01-01T07:45+01:00,1324.8,4338.9,3323.4,1694.9,513.3,462.6,4623.8,23,106.2,11.4,1464.8,965.3,1366.7,35597.4,23,46085.2
2025-01-01T08:00+01:00,1329.4,4410.4,3313.2,1678,513.3,455.6,4565,23,104.6,23.7,1464.4,959.3,2305.8,35311.1,61.4,47454.2
2025-01-01T08:15+01:00,1332.6,4439.1,3315.4,1688.7,513.3,454.3,4348.4,22.9,108.3,66.9,1464.6,955.7,2509.1,35268.1,293.5,47982.4
